ROW,Date,CO
229,2014-12-11,18332.00
230,2014-12-14,12814.00
231,2014-12-15,8162.00
232,2014-12-16,7597.00
233,2014-12-17,11337.00
234,2014-12-18,1659.00
235,2014-12-20,10375.00
236,2014-12-22,2656.00
237,2014-12-24,16922.00
238,2014-12-25,18423.00
239,2014-12-27,7927.00
240,2014-12-28,10507.00
241,2014-12-29,12659.00
242,2014-12-30,16327.00
243,2014-12-31,22140.00
244,2015-01-01,20771.00
245,2015-01-03,257372.00
246,2015-01-04,9541.00
247,2015-01-05,21182.00
248,2015-01-06,10545.00
249,2015-01-07,25842.00
250,2015-01-08,5426.00
251,2015-01-10,2408.00
252,2015-01-11,14994.00
253,2015-01-12,13360.00
254,2015-01-13,3332.00
255,2015-01-14,24197.00
256,2015-01-15,8036.00
257,2015-01-17,25074.00
258,2015-01-18,5454.00
259,2015-01-19,10046.00
260,2015-01-20,22517.00
261,2015-01-21,10918.00
262,2015-01-22,5996.00
263,2015-01-24,11607.00
264,2015-01-25,16125.00
265,2015-01-26,10995.00
266,2015-01-27,1486.00
267,2015-01-28,10192.00
268,2015-01-29,9729.00
269,2015-01-31,21758.00
270,2015-02-01,3960.00
271,2015-02-02,22510.00
272,2015-02-03,21759.00
273,2015-02-04,18797.00
274,2015-02-05,7699.00
275,2015-02-07,10365.00
276,2015-02-08,19013.00
277,2015-02-09,11769.00
278,2015-02-10,2574.00
279,2015-02-12,7451.00
280,2015-02-14,6469.00
281,2015-02-15,4072.00
282,2015-02-16,20553.00
283,2015-02-17,10581.00
284,2015-02-18,5428.00
285,2015-02-19,8100.00
286,2015-02-21,13938.00
287,2015-02-22,18172.00
288,2015-02-23,7642.00
289,2015-02-24,10182.00
290,2015-02-25,24741.00
291,2015-02-26,12245.00
292,2015-02-28,8572.00
293,2015-03-01,20391.00
294,2015-03-02,20779.00
295,2015-03-03,149286.00
296,2015-03-04,12593.00
297,2015-03-05,15145.00
298,2015-03-07,9086.00
299,2015-03-08,19274.00
300,2015-03-09,6467.00
301,2015-03-10,6103.00
302,2015-03-11,12182.00
303,2015-03-12,10991.00
304,2015-03-14,11482.00
305,2015-03-15,11370.00
306,2015-03-16,11763.00
307,2015-03-17,10905.00
308,2015-03-18,4789.00
309,2015-03-19,11960.00
310,2015-03-25,13.00
311,2015-03-26,1488.00
312,2015-03-28,2045.00
313,2015-03-29,1467.00
314,2015-03-30,6471.00
315,2015-03-31,3469.00
316,2015-04-04,8379.00
317,2015-04-05,384.00
